"","Taxon_ID","Scientific_Name","Scientific_Name_Alt","Genus","Common_Name","Taxa_Group","Conservation_Listing","FFG_Status","Mass_g","home_range_km2","dispersal_km","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_aquatic","stratum_cryptic","stratum_fossorial","stratum_generalist","stratum_saxicolous","stratum_terrestrial","nesting","nest_burrow","nest_cave","nest_ground","nest_hollows","nest_branch","volant","hibernation_torpor","diet","diet_breadth_n","diet_carnivore","diet_herbivore","diet_invertivore","diet_infloresence","diet_omnivore","diet_granivore","litter_size_n","litters_per_year_n","max_longevity_d","n_offspring_year","biggest_patch_size","n_habitat_patches","patch_isolation","dominant_pyrome","pyrome_breadth","meanben_firefreq","future_fire_impact","fame_lm_slope","smp_cluster","fame_cluster"
"55",10189,"Ardea pacifica","Ardea pacifica","Ardea","White-necked Heron","Birds","NotListed","NotListed",881,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Water","0","0","0","0","0","1","0","Omnivore",NA,"1","1","0","1","1","0",3.5,1,2889.583333455,3,11809977.1875,9,777.29750020657,"1",8,0,NA,NA,"26","24"
"56",10208,"Anas superciliosa","Anas superciliosa","Anas","Pacific Black Duck","Birds","NotListed","NotListed",882.8,NA,NA,"Aquatic","0","0","1","0","0",0,"0","0","Water","0","0","0","0","0","1","0","Herbivore",NA,"1","1","0","1","0","0",9.037037037,1,3011.25,9.037037037,8794397.8125,11,623.516542935059,"1",8,NA,NA,NA,"27","24"
"57",10211,"Anas gracilis","Anas gracilis","Anas","Grey Teal","Birds","NotListed","NotListed",488.1,NA,NA,"Aquatic","0","0","1","0","0",0,"0","0","Water","0","0","0","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",8,1,11570.5,8,8226086.625,10,716.020554036959,"1",8,0,NA,NA,"27","23"
"58",10977,"Ardea ibis","Bubulcus ibis","Ardea","Cattle Egret","Birds","NotListed","NotListed",366,NA,NA,"Terrestrial","0","0","1","0","0",0,"0","1","Water","0","0","0","0","0","1","0","Omnivore",NA,"1","1","0","1","1","0",4.25,1,8395,4.25,8986550.0625,8,758.728372974018,"1",8,0,NA,NA,"27","24"
"59",10096,"Phalacrocorax carbo","Phalacrocorax carbo","Phalacrocorax","Great Cormorant","Birds","NotListed","NotListed",2529,NA,NA,"Aquatic","0","0","1","0","0",0,"0","0","Water","0","0","0","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",3.75,1,9915.83333455,3.75,7064389.6875,13,627.052460594844,"1",8,0,NA,NA,"27","23"
"60",10425,"Coracina papuensis","Coracina papuensis","Coracina","White-bellied Cuckoo-shrike","Birds","NotListed","NotListed",63.5,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Invertivore",NA,"1","1","1","1","0","0",2.4,2,2524.583333455,1,6921282.9375,5,730.644161320871,"1",8,1.33333333333333,NA,0.000575951446011841,"8","3"
"61",10210,"Anas castanea","Anas castanea","Anas","Chestnut Teal","Birds","NotListed","NotListed",624,NA,NA,"Aquatic","0","0","1","0","0",0,"0","0","Water","0","0","0","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",9.5,1,2737.5,9.5,2269883.25,14,711.112539465854,"1",8,0,NA,NA,"28","22"
"62",10097,"Phalacrocorax sulcirostris","Phalacrocorax sulcirostris","Phalacrocorax","Little Black Cormorant","Birds","NotListed","NotListed",995,NA,NA,"Aquatic","0","0","1","0","0",0,"0","0","Water","0","0","0","0","0","1","0","Carnivore",NA,"1","1","0","1","0","0",4,1,2281.25,4,2433174.1875,15,685.586528569728,"1",8,0.333333333333333,NA,NA,"28","22"
"63",10868,"Corvus tasmanicus","Corvus tasmanicus","Corvus","Forest Raven","Birds","NotListed","NotListed",676.3,NA,NA,"Generalist","0","0","0","0","0",1,"0","0","Branch","0","0","0","0","1","1","0","Omnivore",NA,"1","1","0","1","1","0",4,1.5,7957,1.825,3280494.9375,5,826.821598840427,"1",5,0.5,NA,0.000566113633825873,"29","11"
"64",10594,"Phylidonyris albifrons","Purnella albifrons","Phylidonyris","White-fronted Honeyeater","Birds","NotListed","NotListed",17.4,NA,NA,"Insessorial","0","1","0","0","0",0,"0","0","Branch","0","0","0","0","1","1","0","Infloresence",NA,"1","1","0","1","0","0",2.02,2,4532.08333455,2.225,2185096.5,8,731.877444534539,"1",8,1.25,5,2.19965727516075e-06,"4","4"
